author,Aristotle,Beauvoir,Berkeley,Davis,Deleuze,Derrida,Descartes,Epictetus,Fichte,Foucault,Hegel,Heidegger,Hume,Husserl,Kant,Keynes,Kripke,Leibniz,Lenin,Lewis,Locke,Malebranche,Marcus Aurelius,Marx,Merleau-Ponty,Moore,Nietzsche,Plato,Popper,Quine,Ricardo,Russell,Smith,Spinoza,Wittgenstein,Wollstonecraft
Aristotle,1.0,0.1944635808467865,0.4592357277870178,0.2882154583930969,0.3695070147514343,0.19500970840454102,0.4114908277988434,0.36276525259017944,0.44605475664138794,0.4108890891075134,0.41226911544799805,0.4152580499649048,0.46141374111175537,0.3014413118362427,0.34600356221199036,0.1484588384628296,0.4947468042373657,0.37985074520111084,0.23175185918807983,0.5565327405929565,0.23394903540611267,0.48921602964401245,0.49957019090652466,0.258395791053772,0.28394442796707153,0.3358231782913208,0.29840072989463806,0.337513267993927,0.22641752660274506,0.45327121019363403,0.3420978784561157,0.5261173248291016,0.46781763434410095,0.27861708402633667,0.41313987970352173,0.31180328130722046
Beauvoir,0.1944635808467865,0.9999998807907104,0.3176271915435791,0.6098247766494751,0.2890496253967285,0.3634914755821228,0.3143414855003357,0.2840442657470703,0.14263805747032166,0.1632513403892517,0.28072628378868103,0.238669753074646,0.38711974024772644,0.20538540184497833,0.2675935626029968,0.39663147926330566,0.3182353377342224,0.22723056375980377,0.08073453605175018,0.3498696982860565,0.3236426115036011,0.4138532876968384,0.319982647895813,0.049368977546691895,0.26567575335502625,0.21336236596107483,0.35043346881866455,0.3178812861442566,0.3902732729911804,0.23544453084468842,0.034910641610622406,0.23312067985534668,0.12185567617416382,0.22552627325057983,0.2389984130859375,0.5634506940841675
Berkeley,0.4592357277870178,0.3176271915435791,1.0,0.21819716691970825,0.41787177324295044,0.2407406121492386,0.45683416724205017,0.43595296144485474,0.4626285135746002,0.18308478593826294,0.4133121371269226,0.3380196988582611,0.3549175560474396,0.4026440382003784,0.5298770666122437,0.2701113224029541,0.5656217336654663,0.3343803286552429,0.11193174868822098,0.5584924221038818,0.21635377407073975,0.4527321457862854,0.45579206943511963,0.20003610849380493,0.3501599133014679,0.4677838683128357,0.35785648226737976,0.34703701734542847,0.28578734397888184,0.4329931437969208,0.19783468544483185,0.4036731719970703,0.18450555205345154,0.30356135964393616,0.36031049489974976,0.3317093253135681
Davis,0.2882154583930969,0.6098247766494751,0.21819716691970825,1.0,0.28242820501327515,0.22542470693588257,0.32547107338905334,0.34032517671585083,0.10230626165866852,0.25822722911834717,0.20711418986320496,0.173664391040802,0.35562247037887573,0.2389301359653473,0.18293613195419312,0.3097619414329529,0.33930790424346924,0.18612170219421387,0.17225250601768494,0.3258807361125946,0.33474603295326233,0.35134029388427734,0.35290467739105225,0.11940006911754608,0.1288336217403412,0.15127335488796234,0.3111436665058136,0.3022291362285614,0.4012376368045807,0.15568652749061584,0.052244238555431366,0.27574896812438965,0.13596788048744202,0.08403852581977844,0.1982582062482834,0.518679141998291
Deleuze,0.3695070147514343,0.2890496253967285,0.41787177324295044,0.28242820501327515,1.0,0.38850897550582886,0.3408588469028473,0.3253215551376343,0.3612802028656006,0.30732613801956177,0.3966310918331146,0.24504323303699493,0.3348747193813324,0.34665462374687195,0.4444099962711334,0.288623183965683,0.5531839728355408,0.4155409634113312,0.3350678086280823,0.4549071192741394,0.3734727203845978,0.35556647181510925,0.3612014651298523,0.3258817195892334,0.34527772665023804,0.40358030796051025,0.5433852672576904,0.2715302109718323,0.3776393234729767,0.3760107159614563,0.2647060751914978,0.41045090556144714,0.19930310547351837,0.38004907965660095,0.416969895362854,0.29166778922080994
Derrida,0.19500970840454102,0.3634914755821228,0.2407406121492386,0.22542470693588257,0.38850897550582886,0.9999997615814209,0.27818548679351807,0.2302926629781723,0.3282080888748169,0.28058576583862305,0.5064048171043396,0.5013989806175232,0.5031810998916626,0.32346537709236145,0.43889451026916504,0.33143287897109985,0.36427950859069824,0.4692639112472534,0.3181403577327728,0.2333446741104126,0.32369956374168396,0.3963417410850525,0.4609485864639282,0.28671184182167053,0.5331228971481323,0.39053836464881897,0.45393919944763184,0.48117876052856445,0.4403597116470337,0.4176190495491028,0.2021017074584961,0.3090781569480896,0.2683761715888977,0.4021221101284027,0.33819711208343506,0.3407190442085266
Descartes,0.4114908277988434,0.3143414855003357,0.45683416724205017,0.32547107338905334,0.3408588469028473,0.27818548679351807,1.0,0.35309433937072754,0.4085898995399475,0.42926108837127686,0.4679374396800995,0.48506927490234375,0.46027255058288574,0.5062990784645081,0.5181821584701538,0.2966575622558594,0.41637343168258667,0.27844715118408203,0.26235926151275635,0.4711867868900299,0.2736504077911377,0.4439833164215088,0.3479691743850708,0.25487327575683594,0.32307618856430054,0.373409628868103,0.35671788454055786,0.3283553421497345,0.3864452838897705,0.6035887002944946,0.1828608512878418,0.5144981145858765,0.23055487871170044,0.2974061667919159,0.416604608297348,0.389657199382782
Epictetus,0.36276525259017944,0.2840442657470703,0.43595296144485474,0.34032517671585083,0.3253215551376343,0.2302926629781723,0.35309433937072754,1.0,0.28385600447654724,0.32122886180877686,0.3153237998485565,0.17031484842300415,0.35806652903556824,0.20562753081321716,0.4435805380344391,0.3886649012565613,0.5285699963569641,0.3490848243236542,0.18946439027786255,0.44076424837112427,0.44248247146606445,0.6143558025360107,0.6366921067237854,0.2939789593219757,0.1667582243680954,0.29855623841285706,0.4636605978012085,0.5084395408630371,0.20308610796928406,0.27232080698013306,0.23272353410720825,0.2810937166213989,0.21528615057468414,0.2927287220954895,0.24160811305046082,0.43833065032958984
Fichte,0.44605475664138794,0.14263805747032166,0.4626285135746002,0.10230626165866852,0.3612802028656006,0.3282080888748169,0.4085898995399475,0.28385600447654724,1.0,0.3715789318084717,0.46180492639541626,0.3115020990371704,0.3803507089614868,0.43301594257354736,0.43783992528915405,0.14402005076408386,0.30754438042640686,0.285513699054718,0.16267871856689453,0.4977278709411621,0.25236982107162476,0.4558578133583069,0.3054163157939911,0.24862569570541382,0.4772392511367798,0.4479363262653351,0.21593089401721954,0.2181330919265747,0.2353968322277069,0.5039300918579102,0.24349702894687653,0.4861534833908081,0.34163427352905273,0.40348222851753235,0.43276098370552063,0.20389971137046814
Foucault,0.4108890891075134,0.1632513403892517,0.18308478593826294,0.25822722911834717,0.30732613801956177,0.28058576583862305,0.42926108837127686,0.32122886180877686,0.3715789318084717,1.0000001192092896,0.3983430862426758,0.3760946989059448,0.38485634326934814,0.35203537344932556,0.49752384424209595,0.26467329263687134,0.448169469833374,0.2937639355659485,0.2975388169288635,0.4134267568588257,0.22027260065078735,0.44188183546066284,0.297330379486084,0.2391992211341858,0.2864001989364624,0.3506447672843933,0.2616247534751892,0.3559628427028656,0.24455046653747559,0.4910556674003601,0.16227035224437714,0.4595945477485657,0.24329319596290588,0.3070979118347168,0.234881192445755,0.36104851961135864
